,id,gender,season,age,tripletsOfMonths,commonRed,commonGreen,commonBlue
76,54118,Women,Winter,2,1,253,253,253
77,2872,Women,Winter,2,1,223,220,213
78,49653,Women,Summer,2,3,254,254,252
79,8574,Women,Fall,2,4,254,133,159
80,16957,Men,Winter,2,1,254,254,254
81,19123,Men,Fall,2,4,204,205,171
82,13419,Men,Summer,2,3,254,131,141
83,17885,Men,Summer,2,3,254,222,218
84,43369,Men,Summer,2,3,254,254,254
85,48781,Women,Summer,2,3,254,254,254
86,44970,Men,Winter,2,1,234,234,78
87,56489,Women,Spring,2,2,174,160,142
88,39524,Unisex,Summer,0,3,238,127,60
89,33822,Men,Summer,2,3,246,246,246
90,58513,Women,Summer,2,3,226,48,94
91,25947,Women,Summer,2,3,49,34,27
92,52029,Unisex,Summer,0,3,74,75,70
93,5865,Men,Summer,2,3,254,68,56
94,39716,Women,Summer,2,3,40,50,130
95,25349,Men,Summer,2,3,147,22,34
96,11940,Men,Summer,2,3,254,62,62
97,55802,Women,Summer,2,3,241,241,0
98,29584,Men,Summer,2,3,42,45,49
99,43967,Women,Spring,2,2,240,250,250
100,28456,Women,Summer,2,3,51,67,122
101,34009,Girls,Summer,1,3,15,16,21
102,19311,Men,Fall,2,4,226,226,226
103,42089,Men,Summer,2,3,254,254,254
104,22950,Unisex,Winter,0,1,20,29,31
105,49461,Men,Summer,2,3,254,254,254
106,8746,Unisex,Summer,0,3,247,247,247
107,9694,Men,Fall,2,4,245,245,247
108,23882,Men,Fall,2,4,254,254,254
109,34835,Men,Summer,2,3,58,102,254
110,15984,Men,Fall,2,4,254,242,172
111,41268,Men,Summer,2,3,41,41,41
112,11518,Women,Winter,2,1,254,253,254
113,14856,Women,Summer,2,3,185,162,127
114,33648,Men,Summer,2,3,247,248,250
115,59297,Men,Fall,2,4,177,165,127
116,28032,Men,Summer,2,3,229,229,229
117,27846,Women,Summer,2,3,41,28,24
118,26994,Women,Summer,2,3,16,20,23
119,49839,Women,Winter,2,1,250,250,251
120,31923,Women,Summer,2,3,0,36,254
121,2618,Women,Spring,2,2,207,210,229
122,54588,Women,Summer,2,3,159,0,0
123,49005,Women,Summer,2,3,206,205,211
124,8322,Boys,Fall,1,4,0,140,193
125,13841,Unisex,Winter,0,1,222,223,215
126,28200,Men,Winter,2,1,254,254,254
127,12993,Unisex,Fall,0,4,254,254,254
128,7158,Men,Fall,2,4,254,254,64
129,18495,Men,Fall,2,4,243,239,236
130,8110,Men,Winter,2,1,252,252,252
131,19547,Men,Fall,2,4,84,115,150
132,7964,Men,Fall,2,4,56,62,57
133,36934,Women,Spring,2,2,254,254,254
134,39140,Women,Summer,2,3,0,0,0
135,20851,Women,Winter,2,1,219,64,54
136,41866,Men,Fall,2,4,218,182,131
137,58177,Women,Summer,2,3,254,254,49
138,44528,Men,Summer,2,3,44,44,44
139,16392,Men,Fall,2,4,254,106,143
140,51455,Women,Summer,2,3,254,254,254
141,50587,Men,Summer,2,3,231,184,158
142,17240,Men,Fall,2,4,254,32,30
143,47530,Women,Winter,2,1,237,229,254
144,6617,Men,Summer,2,3,49,39,38
145,12732,Unisex,Fall,0,4,254,254,254
146,3365,Men,Summer,2,3,42,31,30
147,42042,Men,Summer,2,3,250,250,252
148,23849,Men,Fall,2,4,254,254,254
149,43190,Women,Winter,2,1,241,47,48
150,48578,Men,Summer,2,3,254,254,254
151,30462,Women,Summer,2,3,17,17,17
152,18208,Men,Fall,2,4,234,231,232
153,54127,Women,Winter,2,1,254,254,254
154,10065,Men,Fall,2,4,254,230,78
155,24250,Men,Fall,2,4,183,186,189
156,32335,Men,Winter,2,1,204,204,206
157,25382,Men,Summer,2,3,224,223,227
158,56670,Men,Winter,2,1,18,18,22
159,5092,Men,Summer,2,3,254,140,148
160,10859,Men,Fall,2,4,46,54,65
161,59638,Women,Fall,2,4,13,79,53
162,15517,Men,Fall,2,4,163,254,254
163,4140,Women,Winter,2,1,217,217,216
164,36795,Men,Winter,2,1,203,197,192
165,40527,Men,Winter,2,1,254,254,254
166,10257,Men,Fall,2,4,50,56,53
167,24062,Men,Summer,2,3,56,69,96
168,45869,Men,Winter,2,1,28,39,34
169,11385,Women,Fall,2,4,29,28,29
170,53130,Women,Winter,2,1,254,254,254
171,44187,Women,Spring,2,2,225,224,224
172,21510,Women,Winter,2,1,254,254,254
173,51667,Men,Winter,2,1,132,133,135
174,22395,Men,Fall,2,4,225,254,253
175,35322,Women,Winter,2,1,254,254,254
176,6425,Unisex,Summer,0,3,254,254,254
177,18806,Men,Summer,2,3,254,254,254
178,23247,Men,Fall,2,4,24,24,26
179,17072,Women,Winter,2,1,254,254,254
180,31782,Women,Summer,2,3,192,219,251
181,42270,Unisex,Summer,0,3,247,247,46
182,12500,Men,Fall,2,4,50,57,56
183,26735,Men,Spring,2,2,254,254,254
184,30650,Men,Summer,2,3,55,49,53
185,56026,Women,Spring,2,2,83,35,33
186,21948,Women,Winter,2,1,51,40,45
187,32563,Women,Summer,2,3,25,254,253
188,58980,Women,Spring,2,2,254,254,254
189,40143,Girls,Summer,1,3,233,233,235
190,10633,Men,Fall,2,4,27,23,20
191,24406,Women,Summer,2,3,254,213,106
192,4716,Unisex,Winter,0,1,70,70,75
193,21174,Women,Fall,2,4,249,226,223
194,15341,Women,Fall,2,4,243,114,137
195,52486,Women,Winter,2,1,234,19,29
196,53554,Men,Summer,2,3,224,170,0
197,14293,Men,Fall,2,4,55,63,118
198,47366,Women,Summer,2,3,34,0,0
199,6041,Men,Summer,2,3,208,205,198
200,23623,Girls,Fall,1,4,226,254,254
201,17416,Men,Fall,2,4,254,254,254
202,9835,Women,Fall,2,4,254,254,0
203,29319,Unisex,Summer,0,3,130,6,5
204,7193,Women,Fall,2,4,254,254,254
205,12958,Men,Fall,2,4,42,32,37
206,27283,Women,Fall,2,4,222,123,126
207,30234,Men,Summer,2,3,13,13,13
208,9009,Women,Winter,2,1,34,34,34
209,3533,Men,Summer,2,3,254,42,52
210,42614,Women,Winter,2,1,254,254,254
211,12164,Women,Fall,2,4,254,254,254
212,26351,Women,Winter,2,1,254,201,200
213,17624,Men,Fall,2,4,250,250,250
214,47154,Girls,Summer,1,3,215,122,146
215,35574,Men,Summer,2,3,250,248,246
216,46086,Women,Summer,2,3,254,254,254
217,51031,Women,Summer,2,3,236,201,254
218,13284,Men,Fall,2,4,53,56,58
219,54543,Men,Fall,2,4,220,253,253
220,55491,Women,Spring,2,2,254,254,254
221,26163,Men,Summer,2,3,48,58,57
222,3701,Women,Summer,2,3,254,36,34
223,29917,Men,Winter,2,1,206,203,199
224,42426,Women,Summer,2,3,107,239,227
225,32751,Men,Summer,2,3,237,237,241
226,56214,Women,Winter,2,1,254,254,253
227,10401,Women,Fall,2,4,254,254,254
228,40371,Women,Summer,2,3,254,51,81
229,21346,Men,Winter,2,1,127,131,134
230,45603,Men,Summer,2,3,27,27,27
231,4524,Men,Summer,2,3,254,254,52
232,37223,Women,Summer,2,3,79,106,122
233,53766,Men,Summer,2,3,44,61,79
234,25520,Girls,Fall,1,4,239,240,245
235,32597,Women,Summer,2,3,29,40,34
236,58974,Men,Spring,2,2,254,254,254
237,33445,Women,Summer,2,3,31,31,31
238,57100,Women,Summer,2,3,254,254,254
239,36137,Women,Summer,2,3,247,245,246
240,41859,Men,Summer,2,3,254,254,254
241,21180,Men,Summer,2,3,42,42,45
242,39943,Men,Summer,2,3,254,254,254
243,52472,Women,Winter,2,1,248,245,254
244,58148,Unisex,Fall,0,4,216,216,216
245,20052,Women,Fall,2,4,215,195,90
246,5630,Women,Summer,2,3,144,189,195
247,44517,Men,Summer,2,3,61,61,61
248,47392,Women,Fall,2,4,181,160,126
249,50325,Women,Summer,2,3,254,254,254
250,8913,Men,Fall,2,4,213,27,27
251,16530,Men,Fall,2,4,254,254,253
252,22705,Men,Fall,2,4,230,230,228
253,7167,Men,Fall,2,4,254,254,253
254,46240,Women,Summer,2,3,247,242,236
255,27277,Women,Fall,2,4,254,78,90
256,13042,Women,Winter,2,1,45,43,44
257,6889,Women,Summer,2,3,254,248,222
258,31312,Women,Summer,2,3,0,0,0
259,12190,Men,Fall,2,4,254,254,254
260,55657,Women,Winter,2,1,254,254,254
261,19578,Women,Summer,2,3,254,82,93
262,27879,Women,Summer,2,3,72,87,118
263,34452,Women,Winter,2,1,234,234,235
264,6287,Men,Summer,2,3,241,201,61
265,7355,Men,Fall,2,4,44,52,65
266,46072,Men,Summer,2,3,35,34,39
267,22537,Men,Summer,2,3,161,140,94
268,28831,Women,Summer,2,3,221,32,64
269,43500,Men,Summer,2,3,229,233,241
270,2627,Women,Fall,2,4,223,220,213
271,27045,Women,Summer,2,3,241,223,203
272,13270,Women,Fall,2,4,242,243,246
273,18698,Men,Summer,2,3,204,157,131
274,55465,Women,Spring,2,2,0,0,0
275,26197,Men,Spring,2,2,29,29,32
276,31120,Girls,Summer,1,3,254,123,171
277,25712,Unisex,Summer,0,3,21,64,147
278,11527,Men,Fall,2,4,66,65,37
279,14869,Men,Summer,2,3,27,27,27
280,40385,Women,Summer,2,3,245,245,206
281,15187,Men,Fall,2,4,29,32,37
282,5402,Women,,2,0,223,220,213
283,44725,Women,Summer,2,3,252,249,243
284,14055,Men,Fall,2,4,254,254,138
285,20260,Men,Fall,2,4,57,82,99
286,7731,Men,Winter,2,1,81,91,77
287,22153,Men,Summer,2,3,254,254,254
288,43958,Men,Fall,2,4,45,254,43
289,28469,Women,Summer,2,3,254,112,139
290,50573,Men,Summer,2,3,254,194,159
291,34036,Boys,Summer,1,3,135,164,208
292,55001,Women,Spring,2,2,0,28,8
293,8779,Men,Fall,2,4,43,42,43
294,3391,Women,Winter,2,1,242,243,237
295,43164,Men,Winter,2,1,25,25,27
296,2243,Men,Fall,2,4,254,254,254
297,30496,Women,Summer,2,3,254,64,79
298,27421,Women,Winter,2,1,39,49,249
299,57756,Women,Spring,2,2,200,210,165
300,33213,Women,Summer,2,3,254,62,115
301,39729,Women,Summer,2,3,142,127,96
302,25376,Men,Summer,2,3,225,229,233
303,11143,Men,Fall,2,4,254,254,254
304,56684,Women,Fall,2,4,254,254,254
305,4988,Women,Summer,2,3,221,218,211
306,44341,Men,Summer,2,3,131,188,186
307,14431,Women,Summer,2,3,114,113,113
308,20604,Women,Winter,2,1,254,254,254
309,52224,Women,Summer,2,3,251,242,251
310,45293,Women,Winter,2,1,182,58,55
311,36761,Men,Winter,2,1,11,11,11
312,33021,Women,Summer,2,3,235,232,203
313,25144,Women,Winter,2,1,254,254,254
314,11371,Men,Fall,2,4,14,14,14
315,41401,Women,Summer,2,3,252,252,252
316,14603,Men,Summer,2,3,162,158,155
317,37481,Women,Winter,2,1,238,238,233
318,5254,Unisex,Winter,0,1,254,55,56
319,44173,Women,Spring,2,2,254,254,254
320,25978,Women,Spring,2,2,254,245,247
321,4386,Men,Summer,2,3,205,200,189
322,51693,Unisex,Winter,0,1,254,71,64
323,16154,Men,Fall,2,4,254,40,254
324,22361,Men,Summer,2,3,254,254,254
325,29789,Men,Summer,2,3,254,232,230
326,19920,Unisex,Winter,0,1,39,36,40
327,7503,Men,Summer,2,3,158,250,254
328,46624,Men,Spring,2,2,252,252,254
329,34204,Men,Fall,2,4,43,47,56
330,17086,Women,Winter,2,1,254,154,95
331,50741,Men,Winter,2,1,254,254,254
332,55233,Women,Summer,2,3,172,117,110
333,13426,Men,Summer,2,3,254,254,253
334,43356,Women,Summer,2,3,254,80,254
335,28207,Men,Winter,2,1,254,254,254
336,13846,Men,Fall,2,4,254,254,253
337,12994,Boys,Fall,1,4,66,66,66
338,46278,Women,Summer,2,3,237,38,50
339,16508,Men,Fall,2,4,254,70,86
340,18492,Men,Fall,2,4,73,88,120
341,19540,Men,Summer,2,3,74,98,116
342,7963,Men,Fall,2,4,251,253,254
343,8117,Men,Winter,2,1,62,63,93
344,49230,Men,Summer,2,3,10,10,10
345,39147,Women,Fall,2,4,254,29,110
346,36933,Women,Spring,2,2,254,254,254
347,57138,Women,Summer,2,3,254,46,36
348,20856,Men,Fall,2,4,17,17,19
349,41861,Men,Summer,2,3,29,29,29
350,5608,Men,Summer,2,3,55,55,45
351,58170,Women,Fall,2,4,224,32,25
352,53598,Men,Winter,2,1,82,82,71
353,15983,Men,Fall,2,4,34,42,51
354,39375,Women,Winter,2,1,243,243,211
355,14851,Women,Summer,2,3,43,32,31
356,59290,Men,Winter,2,1,35,35,25
357,52678,Men,Winter,2,1,42,42,46
358,20258,Men,Fall,2,4,52,62,69
359,47198,Men,Summer,2,3,254,254,254
360,27841,Men,Summer,2,3,246,248,238
361,28035,Men,Summer,2,3,168,169,164
362,31924,Women,Summer,2,3,254,254,254
363,26993,Women,Summer,2,3,22,22,20
364,13248,Men,Fall,2,4,40,36,27
365,43538,Women,Summer,2,3,254,103,162
366,8325,Boys,Fall,1,4,254,232,104
367,31118,Girls,Summer,1,3,162,4,7
368,19772,Men,Fall,2,4,1,1,0
369,46876,Men,Summer,2,3,85,85,87
370,5862,Men,Summer,2,3,51,48,46
371,39711,Men,Winter,2,1,38,38,33
372,14409,Women,Summer,2,3,254,254,252
373,58726,Men,Summer,2,3,254,163,161
374,44379,Men,Spring,2,2,25,25,25
375,11947,Men,Summer,2,3,254,253,254
376,36759,Men,Winter,2,1,236,236,231
377,51499,Women,Summer,2,3,13,13,16
378,29583,Women,Summer,2,3,254,254,254
379,55805,Women,Summer,2,3,217,0,0
380,7709,Women,Fall,2,4,53,65,88
381,28451,Women,Summer,2,3,48,51,55
382,43960,Men,Summer,2,3,0,0,0
383,8741,Men,Fall,2,4,254,254,253
384,55039,Women,Spring,2,2,152,157,158
385,19316,Unisex,Fall,0,4,27,32,43
386,27419,Women,Winter,2,1,28,28,28
387,34832,Men,Summer,2,3,248,248,248
388,23885,Men,Winter,2,1,215,214,215
389,19918,Unisex,Winter,0,1,29,29,30
390,22359,Men,Summer,2,3,254,83,86
391,19124,Women,Fall,2,4,254,132,254
392,16950,Men,Winter,2,1,254,108,253
393,49654,Women,Summer,2,3,246,231,206
394,48786,Women,Summer,2,3,254,254,254
395,2049,Men,Summer,2,3,254,245,235
396,17882,Men,Summer,2,3,252,252,252
397,44977,Men,Winter,2,1,254,254,254
398,33019,Women,Summer,2,3,231,225,192
399,41439,Men,Fall,2,4,36,35,37
400,39523,Unisex,Summer,0,3,32,32,34
401,52812,Men,Summer,2,3,63,63,64
402,11349,Men,Summer,2,3,52,66,78
403,24892,Men,Fall,2,4,44,49,52
404,58514,Women,Summer,2,3,0,0,0
405,33825,Women,Summer,2,3,248,248,248
406,25940,Women,Summer,2,3,254,254,253
407,38637,Men,Summer,2,3,212,37,34
408,5896,Men,Summer,2,3,51,51,51
409,4944,Men,Summer,2,3,91,230,237
410,10861,Men,Fall,2,4,254,250,246
411,59600,Women,Fall,2,4,254,254,254
412,42846,Women,Summer,2,3,233,9,11
413,35128,Women,Winter,2,1,254,254,254
414,47508,Men,Summer,2,3,250,30,104
415,54923,Girls,Summer,1,3,120,124,102
416,43994,Women,Spring,2,2,252,252,252
417,17278,Men,Fall,2,4,254,194,185
418,31588,Men,Summer,2,3,121,55,70
419,49492,Men,Summer,2,3,248,246,250
420,18230,Men,Fall,2,4,254,254,253
421,23871,Men,Fall,2,4,184,189,190
422,9667,Men,Fall,2,4,254,27,40
423,16198,Men,Fall,2,4,49,53,54
424,3953,Women,Summer,2,3,254,62,59
425,29745,Men,Winter,2,1,254,254,254
426,28697,Women,Summer,2,3,234,229,231
427,12538,Men,Fall,2,4,45,59,77
428,8587,Men,Fall,2,4,254,251,240
429,42248,Women,Summer,2,3,228,181,166
430,48772,Women,Summer,2,3,254,254,254
431,17876,Men,Summer,2,3,224,225,223
432,30668,Men,Winter,2,1,254,254,254
433,9455,Men,Fall,2,4,254,254,253
434,18002,Women,Summer,2,3,49,56,60
435,44983,Women,Winter,2,1,205,204,186
436,38405,Women,Summer,2,3,239,239,239
437,53934,Women,Summer,2,3,148,104,80
438,1638,Unisex,Fall,0,4,223,220,213
439,25188,Women,Winter,2,1,80,50,49
440,24866,Men,Summer,2,3,214,186,163
441,53108,Women,Winter,2,1,254,254,254
442,21528,Women,Winter,2,1,254,254,76
443,59432,Women,Summer,2,3,54,54,54
444,32903,Women,Summer,2,3,178,254,139
445,6079,Men,Summer,2,3,219,212,205
446,12960,Men,Fall,2,4,250,248,249
447,29321,Men,Summer,2,3,49,49,56
448,9031,Men,Winter,2,1,254,254,254
449,6845,Unisex,Summer,0,3,38,41,38
450,18466,Women,Spring,2,2,202,129,164
451,26369,Women,Summer,2,3,254,103,197
452,33489,Men,Summer,2,3,63,226,212
453,59056,Women,Winter,2,1,233,229,217
454,15379,Men,Summer,2,3,34,33,36
455,45409,Women,Winter,2,1,254,254,254
456,56822,Men,Summer,2,3,210,196,193
457,58184,Women,Summer,2,3,203,185,160
458,40947,Boys,Summer,1,3,229,21,87
459,39381,Men,Summer,2,3,31,33,35
460,15977,Men,Fall,2,4,209,51,53
461,32769,Men,Spring,2,2,82,93,111
462,10439,Men,Fall,2,4,166,152,122
463,59264,Women,Winter,2,1,248,248,248
464,14099,Women,Fall,2,4,193,56,100
465,1852,Men,Summer,2,3,70,63,83
466,30802,Men,Summer,2,3,204,221,230
467,51009,Women,Summer,2,3,231,172,139
468,29113,Women,Summer,2,3,248,248,248
469,7399,Men,Winter,2,1,254,254,254
470,26967,Women,Summer,2,3,24,26,25
471,27089,Women,Summer,2,3,168,106,72
472,48124,Women,Summer,2,3,40,39,33
473,9203,Men,Fall,2,4,58,58,58
474,51835,Women,Summer,2,3,231,254,254
475,3739,Men,Fall,2,4,45,46,77
476,19786,Men,Winter,2,1,45,61,75
477,44948,Men,Summer,2,3,254,254,254
478,24091,Men,Fall,2,4,253,254,254
479,57563,Women,Spring,2,2,254,235,141
480,33026,Women,Fall,2,4,0,0,0
481,41406,Women,Summer,2,3,254,192,234
482,11376,Women,Fall,2,4,254,254,254
483,25143,Women,Winter,2,1,254,50,48
484,44174,Women,Spring,2,2,212,207,203
485,5253,Unisex,Winter,0,1,29,30,30
486,20431,Women,Winter,2,1,86,75,67
487,14604,Men,Summer,2,3,23,21,21
488,4381,Men,Summer,2,3,230,250,250
489,46623,Unisex,Summer,0,3,252,252,252
490,19927,Men,Fall,2,4,253,253,253
491,7504,Women,Summer,2,3,254,154,198
492,22366,Men,Fall,2,4,250,251,254
493,3998,Men,Summer,2,3,222,222,223
494,51694,Unisex,Winter,0,1,254,86,86
495,16153,Men,Fall,2,4,97,93,96
496,17081,Women,Winter,2,1,254,254,254
497,50746,Men,Winter,2,1,254,254,254
498,34203,Men,Winter,2,1,249,246,254
499,55234,Women,Summer,2,3,252,138,74
500,13421,Men,Summer,2,3,254,254,253
501,27614,Men,Summer,2,3,171,154,124
502,22154,Men,Fall,2,4,72,69,75
503,16361,Men,Fall,2,4,33,44,41
504,46411,Men,Summer,2,3,26,24,22
505,7736,Men,Fall,2,4,254,254,254
506,34031,Boys,Summer,1,3,229,230,235
507,50574,Men,Summer,2,3,43,43,43
508,22968,Unisex,Summer,0,3,16,16,16
509,3396,Women,Winter,2,1,254,254,254
510,31543,Men,Summer,2,3,60,77,53
511,55006,Women,Spring,2,2,254,101,95
512,19329,Men,Fall,2,4,52,70,54
513,13613,Men,Summer,2,3,48,50,52
514,27426,Women,Winter,2,1,234,240,243
515,2244,Women,Fall,2,4,254,52,49
516,43163,Men,Winter,2,1,222,222,217
517,33214,Women,Summer,2,3,47,48,48
518,10096,Women,Fall,2,4,254,254,254
519,11144,Men,Fall,2,4,254,254,254
520,25371,Men,Summer,2,3,128,58,78
521,20603,Women,Winter,2,1,28,28,29
522,58719,Women,Summer,2,3,0,0,2
523,11978,Men,Summer,2,3,254,254,254
524,36766,Men,Winter,2,1,24,23,23
525,45294,Women,Winter,2,1,207,207,204
526,52223,Women,Fall,2,4,254,254,254
527,34455,Women,Spring,2,2,232,233,233
528,6280,Men,Summer,2,3,254,223,212
529,46075,Men,Summer,2,3,93,69,59
530,35587,Men,Summer,2,3,254,254,254
531,7352,Men,Fall,2,4,144,67,121
532,27042,Women,Summer,2,3,11,11,9
533,2620,Men,Fall,2,4,254,254,254
534,43507,Men,Summer,2,3,254,73,76
535,28836,Women,Summer,2,3,254,49,131
536,31127,Girls,Summer,1,3,32,42,43
537,26190,Men,Spring,2,2,254,254,254
538,55462,Women,Spring,2,2,0,0,0
539,11520,Women,Fall,2,4,39,43,43
540,25715,Unisex,Summer,0,3,0,175,253
541,41250,Men,Summer,2,3,68,51,52
542,40382,Women,Summer,2,3,244,79,169
543,38298,Men,Summer,2,3,52,44,42
544,57335,Women,Winter,2,1,233,190,167
545,52647,Women,Summer,2,3,254,254,254
546,20267,Women,Winter,2,1,254,254,254
547,14052,Men,Fall,2,4,252,249,250
548,53795,Men,Summer,2,3,26,26,26
549,44722,Women,Summer,2,3,254,254,8
550,5405,Men,Fall,2,4,223,220,213
551,39178,Women,Summer,2,3,254,194,65
552,32590,Women,Summer,2,3,69,62,56
553,11712,Men,Summer,2,3,227,238,253
554,25527,Women,Summer,2,3,168,242,196
555,57107,Women,Summer,2,3,217,105,62
556,20869,Men,Fall,2,4,4,4,254
557,33442,Women,Winter,2,1,48,77,77
558,58973,Women,Spring,2,2,254,254,254
559,52475,Women,Winter,2,1,254,254,254
560,39944,Men,Summer,2,3,86,86,74
561,21187,Men,Summer,2,3,204,156,27
562,36130,Men,Summer,2,3,246,247,246
563,44510,Unisex,Summer,0,3,0,0,0
564,20055,Women,Fall,2,4,126,132,132
565,50322,Women,Summer,2,3,51,49,44
566,28238,Men,Spring,2,2,254,254,254
567,13879,Men,Fall,2,4,254,254,253
568,47395,Women,Summer,2,3,150,163,84
569,46247,Women,Summer,2,3,191,45,54
570,7160,Women,Fall,2,4,254,75,105
571,22702,Women,Fall,2,4,213,202,184
572,8914,Men,Fall,2,4,233,231,218
573,16537,Men,Fall,2,4,254,254,254
574,43735,Women,Summer,2,3,254,254,254
575,13045,Women,Winter,2,1,254,254,254
576,27270,Women,Fall,2,4,156,55,76
577,12197,Men,Summer,2,3,254,126,36
578,55650,Women,Winter,2,1,254,254,60
579,31315,Women,Summer,2,3,214,184,159
580,6274,Women,Summer,2,3,254,228,205
581,47153,Girls,Summer,1,3,215,122,146
582,17623,Men,Fall,2,4,115,156,150
583,48927,Women,Summer,2,3,254,254,254
584,51036,Women,Summer,2,3,254,254,254
585,26958,Women,Summer,2,3,254,254,254
586,46081,Men,Summer,2,3,254,254,254
587,35573,Men,Summer,2,3,247,247,247
588,13283,Men,Fall,2,4,244,244,245
589,54544,Men,Fall,2,4,47,254,254
590,30001,Women,Winter,2,1,182,177,176
591,29910,Men,Winter,2,1,26,26,26
592,3706,Men,Summer,2,3,254,249,222
593,26164,Men,Summer,2,3,254,254,254
594,55496,Women,Spring,2,2,254,254,254
595,56213,Women,Winter,2,1,254,254,253
596,15948,Men,Fall,2,4,83,34,47
597,40376,Women,Summer,2,3,230,194,107
598,24633,Women,Fall,2,4,254,254,254
599,10406,Women,Fall,2,4,254,90,95
600,4523,Men,Summer,2,3,254,254,254
601,45604,Men,Summer,2,3,254,254,254
602,15174,Men,Fall,2,4,252,245,198
603,21341,Men,Winter,2,1,254,254,254
604,53761,Men,Summer,2,3,254,254,254
605,37224,Women,Summer,2,3,83,87,126
606,32564,Women,Summer,2,3,254,65,39
607,56021,Women,Spring,2,2,121,75,73
608,24401,Women,Summer,2,3,254,198,126
609,10634,Men,Winter,2,1,46,24,47
610,40144,Girls,Summer,1,3,230,48,197
611,58987,Women,Spring,2,2,81,56,254
612,59069,Women,Summer,2,3,217,162,130
613,15346,Men,Fall,2,4,37,46,47
614,52481,Women,Winter,2,1,23,22,21
615,21173,Women,Fall,2,4,18,17,156
616,4711,Unisex,Winter,0,1,60,59,59
617,40978,Boys,Summer,1,3,236,58,97
618,14294,Men,Fall,2,4,40,42,46
619,17411,Men,Fall,2,4,254,254,254
620,9832,Women,Fall,2,4,236,152,91
621,23624,Girls,Fall,1,4,247,246,254
622,6046,Men,Summer,2,3,211,208,201
623,34693,Girls,Summer,1,3,236,214,210
624,47361,Women,Summer,2,3,45,37,47
625,7194,Women,Fall,2,4,254,254,254
626,51204,Women,Summer,2,3,222,168,137
627,30233,Men,Summer,2,3,254,254,254
628,48329,Women,Summer,2,3,114,59,116
